trade_date,available_cash,pending_cash,total_cash,market_value,total_value,pos_count,action,stops
2021-01-04,2032700.74,0.0,2032700.74,8423814.05,10456514.79,4,rebalance,0
2021-01-05,2032700.74,0.0,2032700.74,8816595.99,10849296.73,4,mtm_only,0
2021-01-06,2032700.74,0.0,2032700.74,9056150.96,11088851.7,4,mtm_only,0
2021-01-07,2032700.74,0.0,2032700.74,9031773.11,11064473.86,4,mtm_only,0
2021-01-08,2032700.74,0.0,2032700.74,9422103.18,11454803.92,4,mtm_only,0
2021-01-11,16081.94,0.0,16081.94,11754390.88,11770472.82,5,rebalance,0
2021-01-12,16081.94,1854430.67,1870512.61,10072789.01,11943301.62,4,mtm_only,1
2021-01-13,1870512.61,0.0,1870512.61,10529082.24,12399594.86,4,mtm_only,0
2021-01-14,1870512.61,0.0,1870512.61,11122348.19,12992860.8,4,mtm_only,0
2021-01-15,1870512.61,0.0,1870512.61,11777479.91,13647992.52,4,mtm_only,0
2021-01-18,1870512.61,0.0,1870512.61,12517613.26,14388125.87,4,rebalance,0
2021-01-19,1870512.61,0.0,1870512.61,13210108.22,15080620.83,4,mtm_only,0
2021-01-20,1870512.61,0.0,1870512.61,14224545.29,16095057.9,4,mtm_only,0
2021-01-21,1870512.61,0.0,1870512.61,14891195.88,16761708.49,4,mtm_only,0
2021-01-22,1870512.61,0.0,1870512.61,15598669.61,17469182.22,4,mtm_only,0
2021-01-25,143.7,2203732.08,2203875.78,15873231.05,18077106.83,4,rebalance,1
2021-01-26,2203875.78,0.0,2203875.78,16035367.67,18239243.45,4,mtm_only,0
2021-01-27,2203875.78,8728261.15,10932136.93,6563755.89,17495892.82,3,mtm_only,1
2021-01-28,10932136.93,2051515.14,12983652.07,4506767.99,17490420.06,2,mtm_only,1
2021-01-29,12983652.07,0.0,12983652.07,4712408.87,17696060.94,2,mtm_only,0
2021-02-01,14575.19,0.0,14575.19,18325361.27,18339936.46,5,rebalance,0
2021-02-02,14575.19,0.0,14575.19,19078395.74,19092970.93,5,mtm_only,0
2021-02-03,14575.19,0.0,14575.19,19107743.21,19122318.4,5,mtm_only,0
2021-02-04,14575.19,0.0,14575.19,18904744.94,18919320.13,5,mtm_only,0
2021-02-05,14575.19,3762269.79,3776844.99,14866579.63,18643424.62,4,mtm_only,1
2021-02-08,1641.33,1789327.34,1790968.67,16932560.2,18723528.87,4,rebalance,1
2021-02-09,1790968.67,0.0,1790968.67,17976257.02,19767225.69,4,mtm_only,0
2021-02-10,1790968.67,0.0,1790968.67,17573729.17,19364697.84,4,mtm_only,0
2021-02-18,3064.91,4540466.97,4543531.88,15048471.76,19592003.63,4,rebalance,1
2021-02-19,4543531.88,0.0,4543531.88,15210905.02,19754436.9,4,mtm_only,0
2021-02-22,15651.92,0.0,15651.92,19723214.28,19738866.19,5,rebalance,0
2021-02-23,15651.92,0.0,15651.92,19678444.9,19694096.82,5,mtm_only,0
2021-02-24,15651.92,0.0,15651.92,19680272.27,19695924.19,5,mtm_only,0
2021-02-25,15651.92,4181398.33,4197050.25,15198813.82,19395864.07,4,mtm_only,1
2021-02-26,4197050.25,0.0,4197050.25,15137622.83,19334673.08,4,mtm_only,0
2021-03-01,5190.88,0.0,5190.88,19564756.88,19569947.76,5,rebalance,0
2021-03-02,5190.88,0.0,5190.88,19502705.85,19507896.74,5,mtm_only,0
2021-03-03,5190.88,0.0,5190.88,19401261.82,19406452.7,5,mtm_only,0
2021-03-04,5190.88,0.0,5190.88,19353444.73,19358635.61,5,mtm_only,0
2021-03-05,5190.88,0.0,5190.88,19349746.0,19354936.89,5,mtm_only,0
2021-03-08,5190.88,3925767.17,3930958.05,15163082.3,19094040.35,4,rebalance,1
2021-03-09,3930958.05,0.0,3930958.05,14778996.07,18709954.12,4,mtm_only,0
2021-03-10,3930958.05,5813350.47,9744308.52,8567502.89,18311811.41,2,mtm_only,2
2021-03-11,9744308.52,0.0,9744308.52,8858057.21,18602365.73,2,mtm_only,0
2021-03-12,9744308.52,0.0,9744308.52,8862209.29,18606517.81,2,mtm_only,0
2021-03-15,2495.63,0.0,2495.63,18676032.84,18678528.46,5,rebalance,0
2021-03-16,2495.63,0.0,2495.63,18699443.81,18701939.44,5,mtm_only,0
2021-03-17,2495.63,0.0,2495.63,19010595.24,19013090.87,5,mtm_only,0
2021-03-18,2495.63,2992036.26,2994531.88,15967050.19,18961582.07,4,mtm_only,1
2021-03-19,2994531.88,0.0,2994531.88,16204156.94,19198688.83,4,mtm_only,0
2021-03-22,11458.03,0.0,11458.03,19553730.78,19565188.81,5,rebalance,0
2021-03-23,11458.03,0.0,11458.03,19683655.12,19695113.15,5,mtm_only,0
2021-03-24,11458.03,0.0,11458.03,19281416.75,19292874.78,5,mtm_only,0
2021-03-25,11458.03,0.0,11458.03,19550349.01,19561807.04,5,mtm_only,0
2021-03-26,11458.03,0.0,11458.03,19874325.03,19885783.06,5,mtm_only,0
2021-03-29,11458.03,0.0,11458.03,19889501.32,19900959.35,5,rebalance,0
2021-03-30,11458.03,0.0,11458.03,20052591.9,20064049.93,5,mtm_only,0
2021-03-31,11458.03,0.0,11458.03,19846920.37,19858378.4,5,mtm_only,0
2021-04-01,11458.03,0.0,11458.03,20523464.05,20534922.08,5,mtm_only,0
2021-04-02,11458.03,0.0,11458.03,20810566.95,20822024.98,5,mtm_only,0
2021-04-06,11458.03,0.0,11458.03,20812576.69,20824034.72,5,rebalance,0
2021-04-07,11458.03,0.0,11458.03,20961824.97,20973283.0,5,mtm_only,0
2021-04-08,11458.03,4614714.64,4626172.67,16221417.02,20847589.69,4,mtm_only,1
2021-04-09,4626172.67,3122528.41,7748701.08,12771810.82,20520511.9,3,mtm_only,1
2021-04-12,17892.76,0.0,17892.76,20227010.16,20244902.92,5,rebalance,0
2021-04-13,17892.76,0.0,17892.76,20097733.9,20115626.66,5,mtm_only,0
2021-04-14,17892.76,0.0,17892.76,20325636.08,20343528.84,5,mtm_only,0
2021-04-15,17892.76,0.0,17892.76,19937311.03,19955203.79,5,mtm_only,0
2021-04-16,17892.76,3925371.51,3943264.27,16112560.38,20055824.65,4,mtm_only,1
2021-04-19,12427.76,0.0,12427.76,20846378.06,20858805.82,5,rebalance,0
2021-04-20,12427.76,0.0,12427.76,21208392.22,21220819.98,5,mtm_only,0
2021-04-21,12427.76,0.0,12427.76,21552970.86,21565398.62,5,mtm_only,0
2021-04-22,12427.76,0.0,12427.76,22262860.41,22275288.17,5,mtm_only,0
2021-04-23,12427.76,0.0,12427.76,22017902.85,22030330.61,5,mtm_only,0
2021-04-26,12427.76,0.0,12427.76,22890802.06,22903229.82,5,rebalance,0
2021-04-27,12427.76,0.0,12427.76,23681604.48,23694032.24,5,mtm_only,0
2021-04-28,12427.76,0.0,12427.76,24155835.73,24168263.49,5,mtm_only,0
2021-04-29,12427.76,0.0,12427.76,24640411.74,24652839.5,5,mtm_only,0
2021-04-30,12427.76,4369935.81,4382363.57,20479307.07,24861670.65,4,mtm_only,1
2021-05-06,933.64,0.0,933.64,24188516.39,24189450.03,5,rebalance,0
2021-05-07,933.64,4060715.42,4061649.06,19474123.2,23535772.26,4,mtm_only,1
2021-05-10,260.02,5105072.46,5105332.48,18019814.86,23125147.34,4,rebalance,1
2021-05-11,5105332.48,0.0,5105332.48,18394566.32,23499898.8,4,mtm_only,0
2021-05-12,5105332.48,0.0,5105332.48,19326003.06,24431335.55,4,mtm_only,0
2021-05-13,5105332.48,0.0,5105332.48,19685732.03,24791064.51,4,mtm_only,0
2021-05-14,5105332.48,0.0,5105332.48,20334466.2,25439798.68,4,mtm_only,0
2021-05-17,6230.57,0.0,6230.57,26223578.89,26229809.46,5,rebalance,0
2021-05-18,6230.57,0.0,6230.57,27009607.48,27015838.05,5,mtm_only,0
2021-05-19,6230.57,0.0,6230.57,27939236.93,27945467.5,5,mtm_only,0
2021-05-20,6230.57,0.0,6230.57,28624363.81,28630594.38,5,mtm_only,0
2021-05-21,6230.57,0.0,6230.57,29750463.03,29756693.6,5,mtm_only,0
