signal_date,execution_date,as_of_date,holding_days,status,reason,basket_size,model_name,model_path,universe,basket_path,coverage_count,coverage_ratio,ready_count,ready_ratio,missing_start_count,missing_end_count,missing_start_symbols,missing_end_symbols,equal_weight_return,weighted_return,benchmark_return,equal_weight_excess_return,weighted_excess_return,positive_ratio,top1_return,top5_mean_return
2026-04-03,2026-04-06,2026-03-31,0,pending,insufficient_holding_window,5,qlib_lgbm_semantic_all_features,data/models/qlib_lgbm_semantic_all_features,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-06/pre_open/signals/signal_basket_2026-04-03.csv,,,,,,,,,,,,,,,,
2026-04-02,2026-04-03,2026-03-31,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv,,,,,,,,,,,,,,,,
2026-04-01,2026-04-02,2026-03-31,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv,,,,,,,,,,,,,,,,
2026-03-31,2026-04-01,2026-03-31,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv,,,,,,,,,,,,,,,,
2026-03-30,2026-03-31,2026-03-31,1,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],-0.010361599626059736,-0.010361599626059738,-0.010373138543498571,1.1538917438835145e-05,1.153891743883341e-05,0.0,-0.001495361328125,-0.010361599626059736
2026-03-27,2026-03-30,2026-03-31,2,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],-0.0003297726415258939,-0.000329772641525895,-0.012725247990296918,0.012395475348771024,0.012395475348771022,0.4,0.03898305345013098,-0.0003297726415258939
2026-03-26,2026-03-27,2026-03-31,3,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.004436158207610008,0.004436158207610009,-0.006263344664735205,0.010699502872345213,0.010699502872345213,0.8,0.02166668574015307,0.004436158207610008
2026-03-25,2026-03-26,2026-03-31,4,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-26/pre_open/signals/signal_basket_2026-03-25.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.0029574700047961143,0.0029574700047961134,-0.019981431529775242,0.022938901534571357,0.022938901534571357,0.6,-0.030657531295442797,0.0029574700047961143
2026-03-24,2026-03-25,2026-03-31,5,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-25/pre_open/signals/signal_basket_2026-03-24.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.03418581155802118,0.03418581155802118,-0.006808427653940345,0.040994239211961526,0.040994239211961526,0.8,0.009674984871981263,0.03418581155802118
2026-03-23,2026-03-24,2026-03-31,6,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-24/pre_open/signals/signal_basket_2026-03-23.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.05100769698342389,0.05100769698342389,0.00810723839271785,0.04290045859070604,0.04290045859070604,1.0,0.010419163023519307,0.05100769698342389
