scheme,top20_inner_rankic,top20_inner_rankicir,top50_inner_rankic,top50_inner_rankicir,top100_inner_rankic,top100_inner_rankicir
baseline_no_weight,-0.07255639097744361,-0.40719465178046843,0.006506602641056419,0.05848655686238247,-0.014222922292229222,-0.17812739844067244
top10pct_weight_3x,0.10022556390977441,0.417499601350461,0.04778871548619447,0.35511491917740057,-0.005084908490849084,-0.06080326397982777
top20pct_weight_2x,0.045526315789473686,0.20797710419346388,-0.07014165666266506,-0.8881451650266214,-0.014498349834983498,-0.16325018269296432
top10pct_3x_top20pct_2x,0.07966165413533835,0.37694022140716643,0.07596878751500599,0.7120515301355106,0.03713531353135313,0.412567931723726
