scheme,year,ic,icir,rank_ic,rank_icir
baseline_no_weight,2020,0.0005478846695985794,0.006934084992452624,-0.03068295913568444,-0.41957143384352213
baseline_no_weight,2021,0.06417796017137838,0.6451804046037708,0.04801690734568436,0.38304745099382576
baseline_no_weight,2022,0.07676194065388528,0.7861763358289705,0.062171405850896075,0.6609010936791093
baseline_no_weight,2023,0.12463276331421656,2.1374606420461424,0.12060408543794301,1.5759125954005002
baseline_no_weight,2024,0.07413250685327184,0.8742165817544676,0.08784868273442628,0.8994603530066332
baseline_no_weight,2025,0.05761834833694386,1.1588708903377483,0.06317866306535018,1.0451024934821518
top10pct_weight_3x,2020,0.009419303989908576,0.095310239264406,-0.04506604057604112,-0.6095846620179325
top10pct_weight_3x,2021,0.07619623539541276,0.6185878982946816,0.03724223471098502,0.237623847705268
top10pct_weight_3x,2022,0.06064457722821741,0.5414202041187701,0.03393135209284063,0.2885693256929224
top10pct_weight_3x,2023,0.06385271580314565,0.6675484859978004,0.011468754211081554,0.12498289594127147
top10pct_weight_3x,2024,0.0864521861695807,1.1800816867860118,0.07566072965303165,0.7651580744999681
top10pct_weight_3x,2025,0.06596172834145238,0.8405253282094224,0.06540884627110835,0.6916411457575286
top20pct_weight_2x,2020,0.011853534156544821,0.1309639059925239,-0.03640815007734006,-0.5060340017750333
top20pct_weight_2x,2021,0.06669893760008734,0.5414909477807346,0.030895218645999215,0.2002452831696211
top20pct_weight_2x,2022,0.058373047842599016,0.5655329465622798,0.03339842924216742,0.3107201054804651
top20pct_weight_2x,2023,0.07527176228483438,0.9059947618998031,0.04041727319006092,0.4835591287669232
top20pct_weight_2x,2024,0.08109428814288601,1.1641058768060173,0.0814119677719629,0.8478665888753529
top20pct_weight_2x,2025,0.07175730159823161,1.0674104475062924,0.07334116944744015,0.9298005987352974
top10pct_3x_top20pct_2x,2020,0.012303360201780963,0.12851590548090674,-0.0412268160524951,-0.5838755777870752
top10pct_3x_top20pct_2x,2021,0.07041555542860375,0.5833638841108704,0.031872484454090175,0.20334812260513715
top10pct_3x_top20pct_2x,2022,0.062353187528822566,0.570305325357539,0.03414178951219787,0.29792163135947686
top10pct_3x_top20pct_2x,2023,0.05250425813804939,0.5511504455762675,-0.0007273606380937272,-0.007859073494724405
top10pct_3x_top20pct_2x,2024,0.08710762545217139,1.266590160391331,0.0765805550615398,0.792926818638607
top10pct_3x_top20pct_2x,2025,0.06962232977143173,1.0213661884275729,0.07012297535163306,0.8825128371804497
