scheme,k,year,mean_ret,hit_rate,bad_rate,gt10,gt20,gt30,n
baseline_no_weight,20,2020,0.12153952,0.5311188811188812,0.4688811188811189,0.36363636363636365,0.2465034965034965,0.16433566433566432,2860
baseline_no_weight,20,2021,0.09638199,0.49753086419753084,0.501440329218107,0.35843621399176956,0.2697530864197531,0.20329218106995886,4860
baseline_no_weight,20,2022,0.08494945,0.5293388429752066,0.4698347107438017,0.33450413223140496,0.21177685950413222,0.13140495867768595,4840
baseline_no_weight,20,2023,0.06461772,0.4735537190082645,0.525,0.2634297520661157,0.15309917355371902,0.09070247933884297,4840
baseline_no_weight,20,2024,0.13107616,0.6018595041322314,0.3962809917355372,0.43099173553719006,0.3028925619834711,0.1933884297520661,4840
baseline_no_weight,20,2025,0.12143667,0.6173245614035088,0.38223684210526315,0.4105263157894737,0.26469298245614037,0.17456140350877192,4560
baseline_no_weight,50,2020,0.08132981,0.5081118881118881,0.4909090909090909,0.34363636363636363,0.22433566433566435,0.14881118881118882,7150
baseline_no_weight,50,2021,0.071918294,0.48962962962962964,0.5091358024691358,0.33637860082304527,0.2403292181069959,0.17160493827160495,12150
baseline_no_weight,50,2022,0.06348023,0.5293388429752066,0.4693388429752066,0.32975206611570246,0.20570247933884298,0.13090909090909092,12100
baseline_no_weight,50,2023,0.034024965,0.460495867768595,0.5377685950413224,0.2484297520661157,0.13165289256198348,0.07008264462809917,12100
baseline_no_weight,50,2024,0.10965535,0.58900826446281,0.40859504132231406,0.4003305785123967,0.26603305785123965,0.16669421487603306,12100
baseline_no_weight,50,2025,0.12146886,0.6244736842105263,0.3744736842105263,0.40807017543859647,0.2599122807017544,0.17298245614035088,11400
baseline_no_weight,100,2020,0.0625585,0.49699300699300697,0.5021678321678321,0.3288811188811189,0.2125174825174825,0.14076923076923076,14300
baseline_no_weight,100,2021,0.0644047,0.4962551440329218,0.5025514403292181,0.32781893004115226,0.22213991769547325,0.15275720164609052,24300
baseline_no_weight,100,2022,0.0450819,0.5176033057851239,0.4806611570247934,0.3065702479338843,0.18115702479338844,0.10933884297520662,24200
baseline_no_weight,100,2023,0.022160618,0.4563223140495868,0.5411157024793388,0.23607438016528925,0.11971074380165289,0.05909090909090909,24200
baseline_no_weight,100,2024,0.09660025,0.5850413223140496,0.413099173553719,0.38553719008264464,0.24227272727272728,0.14822314049586777,24200
baseline_no_weight,100,2025,0.117467724,0.6343421052631579,0.3644298245614035,0.3975438596491228,0.24714912280701753,0.16149122807017544,22800
top10pct_weight_3x,20,2020,0.11251105,0.5010489510489511,0.4986013986013986,0.3416083916083916,0.229020979020979,0.16363636363636364,2860
top10pct_weight_3x,20,2021,0.11268083,0.529835390946502,0.4691358024691358,0.38621399176954735,0.2903292181069959,0.21646090534979423,4860
top10pct_weight_3x,20,2022,0.06776098,0.5130165289256199,0.48574380165289255,0.32603305785123965,0.21074380165289255,0.13987603305785123,4840
top10pct_weight_3x,20,2023,0.06828494,0.4353305785123967,0.5636363636363636,0.253099173553719,0.1609504132231405,0.10495867768595041,4840
top10pct_weight_3x,20,2024,0.13616987,0.5919421487603306,0.4066115702479339,0.4462809917355372,0.3090909090909091,0.2140495867768595,4840
top10pct_weight_3x,20,2025,0.11133684,0.5822368421052632,0.4168859649122807,0.3846491228070175,0.2517543859649123,0.16359649122807018,4560
top10pct_weight_3x,50,2020,0.07706483,0.5064335664335664,0.493006993006993,0.338041958041958,0.2220979020979021,0.146993006993007,7150
top10pct_weight_3x,50,2021,0.09269139,0.5167901234567901,0.4818106995884774,0.37176954732510287,0.271358024691358,0.1939917695473251,12150
top10pct_weight_3x,50,2022,0.05484143,0.5192561983471075,0.47909090909090907,0.3273553719008264,0.20082644628099172,0.12669421487603305,12100
top10pct_weight_3x,50,2023,0.025348939,0.41,0.5884297520661157,0.22826446280991736,0.13388429752066117,0.0768595041322314,12100
top10pct_weight_3x,50,2024,0.11566567,0.5616528925619835,0.43702479338842976,0.40793388429752064,0.27776859504132234,0.18652892561983472,12100
top10pct_weight_3x,50,2025,0.1152219,0.6003508771929824,0.398859649122807,0.40289473684210525,0.2596491228070175,0.16956140350877194,11400
top10pct_weight_3x,100,2020,0.0659535,0.5009090909090909,0.4982517482517482,0.33867132867132865,0.22097902097902097,0.14748251748251748,14300
top10pct_weight_3x,100,2021,0.07984834,0.5109465020576132,0.48790123456790124,0.35390946502057613,0.24823045267489713,0.17267489711934156,24300
top10pct_weight_3x,100,2022,0.044259507,0.5086776859504132,0.48925619834710743,0.31239669421487604,0.19132231404958677,0.11933884297520661,24200
top10pct_weight_3x,100,2023,0.007724902,0.39884297520661155,0.5994214876033058,0.20429752066115703,0.1137603305785124,0.06293388429752066,24200
top10pct_weight_3x,100,2024,0.105827294,0.5699586776859504,0.4286776859504132,0.3963223140495868,0.26276859504132233,0.17289256198347108,24200
top10pct_weight_3x,100,2025,0.11968038,0.6123684210526316,0.38649122807017544,0.40907894736842104,0.2660087719298246,0.17421052631578948,22800
top20pct_weight_2x,20,2020,0.10479265,0.47587412587412586,0.5237762237762238,0.32272727272727275,0.22552447552447552,0.156993006993007,2860
top20pct_weight_2x,20,2021,0.11010367,0.5203703703703704,0.47818930041152263,0.38950617283950617,0.29670781893004117,0.21975308641975308,4860
top20pct_weight_2x,20,2022,0.08415737,0.5231404958677686,0.47582644628099174,0.3390495867768595,0.2128099173553719,0.1371900826446281,4840
top20pct_weight_2x,20,2023,0.06147147,0.45578512396694215,0.5423553719008265,0.26590909090909093,0.16012396694214875,0.09958677685950414,4840
top20pct_weight_2x,20,2024,0.13662258,0.599793388429752,0.3987603305785124,0.4516528925619835,0.3231404958677686,0.2140495867768595,4840
