scheme,ic,icir,rank_ic,rank_icir
baseline_no_weight,0.07125982109626355,0.8180452301297207,0.06505688852323022,0.648121023537311
top10pct_weight_3x,0.06414305500009088,0.6372435957612804,0.03493683468939627,0.3002306304251874
top20pct_weight_2x,0.06435106251270242,0.6862283051321337,0.04222989215921553,0.38481640817424234
top10pct_3x_top20pct_2x,0.062402834982612176,0.6420779952332807,0.033176420536892015,0.29102429913493
