scheme,top20_inner_rankic,top20_inner_rankicir,top50_inner_rankic,top50_inner_rankicir,top100_inner_rankic,top100_inner_rankicir
baseline_no_weight,-0.0021546892982039407,-0.008975327415470023,0.0274818871638129,0.17996771714126417,0.030141134899214515,0.24234897300172667
top10pct_weight_3x,0.06180318786619839,0.2446023121316457,0.03727162769041476,0.22663995845126034,0.026035840772663917,0.20124553219808153
top20pct_weight_2x,0.045052201385682986,0.19143844346467764,0.03485062849688127,0.22151757030391997,0.023491930802922546,0.18160747339451627
top10pct_3x_top20pct_2x,0.047033888351125576,0.2004303929778412,0.02177072923939865,0.14101274792052587,0.01974264493767458,0.15407215689048778
