symbol,side,amount,price,est_value,weight,score,score_rank,target_value,current_value,diff_value,weight_method,plan_role,execution_bucket,cash_dependency,t1_rule,account_name,signal_date,plan_date,execution_date,price_basis_date,price_basis_field,price_basis_label,status,filled_amount,filled_price,fee,tax,total_cost,order_id,note
600489.SH,buy,7300,27.260000228881836,198998.0016708374,0.2,0.8427940102189694,1,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-04-01,2026-04-01,2026-04-02,2026-04-01,close,close@2026-04-01 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.
600547.SH,buy,4800,41.130001068115234,197424.00512695312,0.2,0.5867668014366544,2,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-04-01,2026-04-01,2026-04-02,2026-04-01,close,close@2026-04-01 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.
600219.SH,buy,32500,6.170000076293945,200525.00247955322,0.2,0.5426008688385097,3,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-04-01,2026-04-01,2026-04-02,2026-04-01,close,close@2026-04-01 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.
600010.SH,buy,76300,2.630000114440918,200669.00873184204,0.2,0.4774325257931632,4,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-04-01,2026-04-01,2026-04-02,2026-04-01,close,close@2026-04-01 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.
002916.SZ,buy,800,231.0,184800.0,0.2,0.441304107733527,5,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-04-01,2026-04-01,2026-04-02,2026-04-01,close,close@2026-04-01 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.
