trade_date,year,n_scored,top5,edgeA_60,edgeB_60,edgeA_180,edgeB_180,n_fwd180,n_gt20,n_gt50,n_gt100
2021-01-25,2021,674,"['603728.SH', '002126.SZ', '603920.SH', '002773.SZ', '300748.SZ']",-12.606407534390701,-6.986138004459369,-26.113730164260886,-5.929782415471482,5.0,0.0,0.0,0.0
2021-03-01,2021,675,"['603659.SH', '600600.SH', '300748.SZ', '600066.SH', '300487.SZ']",7.295835111348289,11.287156737217954,30.214788791383345,50.62093494799099,5.0,4.0,2.0,1.0
2021-03-29,2021,677,"['300476.SZ', '603606.SH', '002738.SZ', '300487.SZ', '300450.SZ']",21.949619257394918,26.911968697756745,66.05463922840445,85.91626198705518,5.0,4.0,3.0,3.0
2021-04-27,2021,679,"['603650.SH', '603786.SH', '002851.SZ', '300115.SZ', '688036.SH']",0.6891122900940572,10.584735907752911,-20.42814650094156,-3.4408729400909355,5.0,0.0,0.0,0.0
2021-05-28,2021,682,"['300679.SZ', '300570.SZ', '603920.SH', '300972.SZ', '002436.SZ']",-0.6449649469393026,12.867926113612018,2.1626013916796416,20.112164226109716,5.0,2.0,0.0,0.0
2021-06-28,2021,688,"['003021.SZ', '603786.SH', '600995.SH', '300570.SZ', '300972.SZ']",-13.850101811923087,-0.07288216724341753,7.338121376384746,20.874461218698574,5.0,1.0,1.0,0.0
2021-07-26,2021,689,"['002984.SZ', '600995.SH', '003021.SZ', '603786.SH', '300122.SZ']",24.90645252736985,29.10766536734892,-1.3037161160205728,5.374285890115169,5.0,1.0,1.0,0.0
2021-08-23,2021,695,"['002984.SZ', '600995.SH', '300442.SZ', '688183.SH', '603486.SH']",28.0344028188402,30.638341938544023,16.461691215264104,22.367633082508995,5.0,1.0,1.0,1.0
2021-09-22,2021,696,"['600601.SH', '603893.SH', '603290.SH', '300857.SZ', '688018.SH']",1.1065136729686522,3.332525467028933,-14.703684457519289,-13.291246789627815,5.0,0.0,0.0,0.0
2021-10-27,2021,698,"['600601.SH', '003031.SZ', '603979.SH', '300570.SZ', '603290.SH']",-9.995768982008283,-4.667630502190506,13.186987113415515,18.910806065610206,5.0,2.0,0.0,0.0
2021-11-24,2021,699,"['300857.SZ', '605358.SH', '603893.SH', '002738.SZ', '600601.SH']",6.969886480166286,9.569008728054868,-5.9551805487194045,-1.51901814915128,5.0,1.0,0.0,0.0
2021-12-22,2021,701,"['300857.SZ', '603893.SH', '605358.SH', '002850.SZ', '002738.SZ']",6.258553980435787,7.409048177391108,-10.975163518173542,-8.129217854316567,5.0,1.0,0.0,0.0
2022-01-20,2022,706,"['002738.SZ', '300857.SZ', '002850.SZ', '300803.SZ', '603920.SH']",2.751210071667792,2.2420932253498673,7.861410873541744,14.76213292860371,5.0,2.0,1.0,0.0
2022-02-24,2022,707,"['300857.SZ', '002738.SZ', '603920.SH', '002850.SZ', '300803.SZ']",3.709421218326962,3.697445347353259,-6.846428955294604,-0.7292099664602231,5.0,0.0,0.0,0.0
2022-03-24,2022,710,"['300857.SZ', '603920.SH', '003031.SZ', '300570.SZ', '002738.SZ']",-12.238168351252062,-13.567650807458975,-7.8488553236368555,-4.196128989329165,5.0,0.0,0.0,0.0
2022-04-25,2022,713,"['002738.SZ', '002851.SZ', '600995.SH', '603728.SH', '300487.SZ']",29.82177592266069,35.554464927980064,48.82418725657154,56.67101779707785,5.0,5.0,2.0,1.0
2022-05-26,2022,714,"['603728.SH', '002130.SZ', '600995.SH', '002851.SZ', '002126.SZ']",80.3626606106901,84.42229619014837,69.80865085136234,77.34793278325913,5.0,4.0,3.0,1.0
2022-06-24,2022,716,"['002130.SZ', '600601.SH', '600995.SH', '000582.SZ', '605499.SH']",8.14254917133597,11.715021454601342,8.104128049771637,19.026762863523132,5.0,2.0,0.0,0.0
2022-07-22,2022,719,"['300100.SZ', '601966.SH', '600995.SH', '603728.SH', '002130.SZ']",-0.27914177756177133,5.0473222889956775,1.9905905807857838,13.953230394754085,5.0,1.0,1.0,1.0
2022-08-19,2022,754,"['600601.SH', '600995.SH', '300475.SZ', '300570.SZ', '300100.SZ']",-6.1920157846269905,-2.0018057128022253,-7.997159546727126,0.860542163047491,5.0,1.0,0.0,0.0
2022-09-19,2022,756,"['600601.SH', '300100.SZ', '302132.SZ', '688336.SH', '603308.SH']",4.145145555927199,6.20708648659662,72.53792952029224,86.15503558955702,5.0,3.0,1.0,1.0
2022-10-24,2022,757,"['302132.SZ', '688220.SH', '603728.SH', '002837.SZ', '603225.SH']",2.0855683666987366,-0.7691778703556446,100.76212522125734,108.77831290559254,5.0,4.0,2.0,2.0
2022-11-21,2022,757,"['302132.SZ', '300570.SZ', '603728.SH', '003021.SZ', '300718.SZ']",75.82632578087602,75.38880599996212,98.02647701939648,101.65022348223019,5.0,3.0,3.0,2.0
2022-12-19,2022,760,"['302132.SZ', '300570.SZ', '603728.SH', '603256.SH', '300100.SZ']",84.5063829839636,90.63668904374802,108.80698019298379,116.39862900431805,5.0,3.0,3.0,2.0
2023-01-17,2023,765,"['300570.SZ', '600601.SH', '603728.SH', '300548.SZ', '002487.SZ']",33.64905760388813,43.22188360266977,52.3499253723836,61.067867340620985,5.0,4.0,3.0,1.0
2023-02-21,2023,767,"['300570.SZ', '302132.SZ', '300100.SZ', '603728.SH', '002265.SZ']",4.727691606214193,9.11818232337942,37.20424633025738,43.25662663295894,5.0,3.0,2.0,1.0
2023-03-21,2023,767,"['603728.SH', '300570.SZ', '600601.SH', '603699.SH', '002044.SZ']",52.64759523115018,55.78130010408607,41.737620132874774,48.0731590210828,5.0,3.0,2.0,0.0
2023-04-19,2023,769,"['000959.SZ', '302132.SZ', '600602.SH', '603728.SH', '002044.SZ']",20.366017118924287,20.694400945760087,10.040056424296518,12.976384326403146,5.0,1.0,0.0,0.0
2023-05-22,2023,771,"['300718.SZ', '300100.SZ', '600595.SH', '000050.SZ', '000737.SZ']",6.713458975271925,6.065289385940742,6.156757049836292,7.363990655763642,5.0,0.0,0.0,0.0
2023-06-19,2023,772,"['000959.SZ', '000988.SZ', '000050.SZ', '300718.SZ', '000960.SZ']",0.4453302279181434,-0.11572827551385584,-1.9004954350791157,1.1592667877095384,5.0,0.0,0.0,0.0
2023-07-19,2023,774,"['300718.SZ', '688183.SH', '000988.SZ', '688313.SH', '001309.SZ']",-6.670577887910054,-6.293533630638354,-6.174957575214304,-3.4119171261512355,5.0,1.0,0.0,0.0
2023-08-16,2023,778,"['300718.SZ', '300548.SZ', '000988.SZ', '000737.SZ', '000062.SZ']",0.3084839470874165,3.6717975915283496,14.18776528032316,19.326307258410374,5.0,1.0,1.0,1.0
2023-09-13,2023,779,"['600595.SH', '301377.SZ', '600171.SH', '300953.SZ', '300718.SZ']",2.002254289445822,7.231036148814798,-1.5579201383954209,2.35270335676873,5.0,1.0,0.0,0.0
2023-10-19,2023,780,"['300718.SZ', '301377.SZ', '688568.SH', '688052.SH', '600595.SH']",11.323097714647492,14.118486719086357,-15.654509154148396,-14.497338492689707,5.0,0.0,0.0,0.0
2023-11-16,2023,780,"['300718.SZ', '300666.SZ', '300953.SZ', '300888.SZ', '600601.SH']",-16.222541880255527,-17.33417604680304,-14.00399760053555,-14.075373662186196,5.0,0.0,0.0,0.0
2023-12-14,2023,780,"['300888.SZ', '301377.SZ', '300718.SZ', '600601.SH', '300666.SZ']",-10.723388747181959,-12.22704222022439,-10.09480898538104,-13.252047561973757,5.0,0.0,0.0,0.0
2024-01-12,2024,781,"['301377.SZ', '300666.SZ', '688313.SH', '688343.SH', '603119.SH']",-19.041796041394132,-20.03421305740518,-22.327036029240404,-23.70759228186894,5.0,0.0,0.0,0.0
2024-02-19,2024,782,"['300718.SZ', '301377.SZ', '002583.SZ', '603308.SH', '688313.SH']",1.970768267709616,5.303639805498422,81.39883683663429,88.82379345954712,5.0,5.0,2.0,1.0
2024-03-18,2024,783,"['301377.SZ', '300395.SZ', '300666.SZ', '300888.SZ', '300718.SZ']",-6.079120435995549,-6.371491117090508,9.041768593073293,13.076262271335942,5.0,3.0,1.0,0.0
2024-04-17,2024,785,"['301377.SZ', '300718.SZ', '688018.SH', '600171.SH', '300395.SZ']",17.862166932035667,16.768879993501407,91.14759301904785,96.59805887988485,5.0,4.0,3.0,3.0
2024-05-20,2024,785,"['688172.SH', '301377.SZ', '002265.SZ', '603345.SH', '688561.SH']",-2.2572536796706206,-3.8898107450742763,31.386013994683754,39.33301627331198,5.0,4.0,1.0,1.0
2024-06-18,2024,786,"['301377.SZ', '300718.SZ', '603345.SH', '300676.SZ', '000785.SZ']",3.3552086137811785,1.5764537350263688,127.12642950750744,137.00286085028543,5.0,4.0,4.0,1.0
2024-07-16,2024,786,"['002265.SZ', '300718.SZ', '688313.SH', '603345.SH', '300676.SZ']",12.275928726171175,14.820445685326447,134.2510291185947,145.3236271407688,5.0,4.0,3.0,2.0
2024-08-13,2024,787,"['301377.SZ', '603119.SH', '688313.SH', '600595.SH', '003031.SZ']",14.912234277773557,22.176018988018274,96.69448721340991,107.45474488933282,5.0,5.0,4.0,2.0
2024-09-10,2024,788,"['603119.SH', '688313.SH', '688220.SH', '300285.SZ', '300548.SZ']",11.504016159779152,21.152951499774336,152.5778512691635,164.25816937317842,5.0,4.0,4.0,4.0
2024-10-17,2024,789,"['603119.SH', '003031.SZ', '688220.SH', '301377.SZ', '688281.SH']",15.328057586968269,19.374984478850994,53.28428405292137,61.2017980907577,5.0,3.0,3.0,2.0
2024-11-14,2024,789,"['601872.SH', '601857.SH', '300888.SZ', '601098.SH', '688336.SH']",3.383225722983332,6.927640641368568,16.94748090999421,23.830184079845175,5.0,2.0,1.0,1.0
2024-12-12,2024,790,"['688220.SH', '601872.SH', '300548.SZ', '600583.SH', '601857.SH']",41.026648701196955,44.540830600793,88.45263209904215,94.48504471737591,5.0,3.0,2.0,2.0
2025-01-10,2025,791,"['301526.SZ', '600499.SH', '688295.SH', '002487.SZ', '601869.SH']",8.773158324001557,11.759772290445616,78.85045480545341,87.234664248744,5.0,5.0,4.0,2.0
2025-02-17,2025,792,"['600499.SH', '002487.SZ', '688065.SH', '688331.SH', '600583.SH']",30.431391649541705,30.450436270046726,56.055727426192824,61.97665076420012,5.0,3.0,3.0,2.0
2025-03-17,2025,792,"['600499.SH', '301526.SZ', '601898.SH', '601857.SH', '601872.SH']",14.201714351745846,13.473011834117981,33.421700216977136,36.86071525889353,5.0,5.0,2.0,1.0
2025-04-15,2025,792,"['600884.SH', '688498.SH', '300763.SZ', '600497.SH', '300285.SZ']",25.749999490598896,26.565547136413524,132.86550180291002,144.58105509388184,5.0,5.0,5.0,2.0
2025-05-16,2025,792,"['301377.SZ', '688349.SH', '300620.SZ', '603256.SH', '603341.SH']",59.9005550773495,63.22536870850295,225.76796642936506,238.95187893085813,5.0,3.0,3.0,3.0
2025-06-16,2025,793,"['300677.SZ', '688172.SH', '300496.SZ', '688187.SH', '601156.SH']",9.730400139986411,13.131280047557164,35.25588947326878,50.68250354808105,5.0,5.0,2.0,2.0
2025-07-14,2025,793,"['601156.SH', '688349.SH', '688172.SH', '688187.SH', '002432.SZ']",5.075925082277749,8.925506405764203,22.110202202959826,35.25686279340604,5.0,3.0,2.0,2.0
2025-08-11,2025,795,"['688187.SH', '300418.SZ', '601156.SH', '688220.SH', '600711.SH']",2.868966798731229,4.523996279954864,2.220573657438407,12.104671587062581,5.0,4.0,1.0,0.0
2025-09-08,2025,795,"['688220.SH', '300735.SZ', '600171.SH', '300140.SZ', '002281.SZ']",-6.784010980360208,-6.740074551635675,18.207541051046054,22.930421473338825,5.0,1.0,1.0,1.0
2025-10-14,2025,795,"['002281.SZ', '600711.SH', '300570.SZ', '300735.SZ', '001696.SZ']",8.374509838631948,10.246927281116697,65.45537575779414,66.9549934939204,5.0,2.0,2.0,2.0
2025-11-11,2025,798,"['603256.SH', '300735.SZ', '002281.SZ', '002335.SZ', '002130.SZ']",7.922041702439313,11.833626329069377,96.88885729589212,97.6480697350344,5.0,2.0,2.0,2.0
2025-12-09,2025,799,"['603256.SH', '300735.SZ', '002126.SZ', '300679.SZ', '300383.SZ']",10.786491393288633,17.23086438664342,,,,,,
2026-01-08,2026,799,"['688313.SH', '002130.SZ', '688343.SH', '002126.SZ', '603256.SH']",37.37007881657196,39.46764529965326,,,,,,
2026-02-05,2026,800,"['688313.SH', '002241.SZ', '688629.SH', '300476.SZ', '002281.SZ']",80.25989037885566,78.89694288593971,,,,,,
2026-03-13,2026,800,"['300502.SZ', '688629.SH', '688313.SH', '002402.SZ', '002130.SZ']",25.681528931686664,20.023716478182678,,,,,,
