phase,tag,h,excess,n,mean,median,q25,q75,pos_rate,worst,p90,max
p0,single,60,edgeA,66,12.709374288060136,8.152296558861988,-4.241552779109295,19.370534216201506,0.696969696969697,-17.133416460467565,35.70916440716549,98.49721189600915
p0,single,60,edgeB,66,15.142963942337877,8.431594490823613,0.09134989686167827,21.81366103867663,0.7424242424242424,-19.79061051945726,40.62820639539939,105.25529627009173
p0,single,120,edgeA,63,29.69266061919106,14.601912492418146,-0.10811922201138802,41.64683247022796,0.746031746031746,-24.44739930825903,100.15905686767977,171.82931405398807
p0,single,120,edgeB,63,34.94324597876787,16.251415083900987,6.44045850834479,46.564421937607676,0.8253968253968254,-19.372304000003616,109.21440523064686,177.74256891679386
p0,single,180,edgeA,60,36.37384243206089,19.656063285112268,-1.0027600836857766,60.5123926171235,0.7166666666666667,-23.0144552838518,100.13888857129953,234.37966201349548
p0,single,180,edgeB,60,44.01809455984051,28.017187911115876,8.029572419561859,68.17486534521176,0.85,-18.369580261991892,104.15680166510114,247.7275186081999
