trade_date,year,n_scored,top5,edgeA_60,edgeB_60,edgeA_180,edgeB_180,n_fwd180,n_gt20,n_gt50,n_gt100
2021-01-04,2021,670,"['002851.SZ', '000739.SZ', '300487.SZ', '002402.SZ', '603920.SH']",-3.0354391387342994,-1.4483802517583946,-1.6017216097738054,14.92355776913889,5.0,2.0,1.0,0.0
2021-02-01,2021,674,"['300487.SZ', '300748.SZ', '002851.SZ', '603659.SH', '600600.SH']",-4.091913428719906,2.3750989790630657,15.554500918462107,35.74898631271751,5.0,2.0,2.0,0.0
2021-03-08,2021,675,"['600600.SH', '603606.SH', '000739.SZ', '600066.SH', '300487.SZ']",7.959227013659914,10.428492407024114,43.69242125874215,64.3209175302857,5.0,4.0,3.0,2.0
2021-04-06,2021,677,"['300748.SZ', '603939.SH', '002851.SZ', '600600.SH', '300476.SZ']",-12.801939546477985,-7.16357246209175,-13.394328729373168,5.632632107439662,5.0,2.0,0.0,0.0
2021-05-07,2021,679,"['603650.SH', '300748.SZ', '603298.SH', '600031.SH', '603786.SH']",12.279029134518904,22.602784191106277,-15.888869399716487,-1.348855614769953,5.0,0.0,0.0,0.0
2021-06-04,2021,683,"['003021.SZ', '603786.SH', '605117.SH', '300570.SZ', '002430.SZ']",40.41950117643131,54.469884007756086,45.75195507955232,62.892614121136056,5.0,1.0,1.0,1.0
2021-07-05,2021,688,"['003021.SZ', '603786.SH', '300570.SZ', '600995.SH', '002265.SZ']",-7.102992852201286,1.39064033321194,36.60238570507984,49.16276682229,5.0,2.0,2.0,1.0
2021-08-02,2021,689,"['002984.SZ', '003021.SZ', '600995.SH', '600601.SH', '688278.SH']",27.623176592619124,31.553661514127047,8.550826637544688,15.587021920434053,4.0,1.0,1.0,0.0
2021-08-30,2021,695,"['603486.SH', '300857.SZ', '688278.SH', '003031.SZ', '000921.SZ']",-1.01856526962547,2.310911913265361,-1.4479397108329461,3.5769777133826786,5.0,0.0,0.0,0.0
2021-09-29,2021,697,"['600601.SH', '603893.SH', '003021.SZ', '003031.SZ', '300857.SZ']",14.001759963357003,18.71590631371747,-3.916341447484358,-0.7007388174793072,5.0,1.0,0.0,0.0
2021-11-03,2021,698,"['600601.SH', '300857.SZ', '002850.SZ', '605358.SH', '688099.SH']",2.161154429412702,4.700897818780196,-15.130089695037107,-9.136479541115483,5.0,0.0,0.0,0.0
2021-12-01,2021,699,"['300857.SZ', '002738.SZ', '603893.SH', '605358.SH', '002850.SZ']",3.3916143538976873,5.1614541411783215,-9.966217955518113,-6.737080201871501,5.0,1.0,1.0,0.0
2021-12-29,2021,703,"['002738.SZ', '603893.SH', '002850.SZ', '003031.SZ', '300857.SZ']",8.773423167758136,9.834394625605295,6.630854876051877,9.808641892180141,5.0,1.0,1.0,0.0
2022-01-27,2022,707,"['300857.SZ', '002738.SZ', '002850.SZ', '603920.SH', '603290.SH']",0.12197648712216624,0.6707661054333319,2.460717939192346,11.584957200528205,5.0,1.0,0.0,0.0
2022-03-03,2022,708,"['300857.SZ', '603920.SH', '003031.SZ', '002738.SZ', '002850.SZ']",-6.501867817088276,-6.541013409307414,-10.681035346952674,-4.905496688078206,5.0,0.0,0.0,0.0
2022-03-31,2022,710,"['603920.SH', '003031.SZ', '002837.SZ', '302132.SZ', '002738.SZ']",-13.606968046854542,-15.368044455529088,-7.925741792718618,-3.79132435073775,5.0,0.0,0.0,0.0
2022-05-05,2022,713,"['300570.SZ', '603728.SH', '600995.SH', '002851.SZ', '002312.SZ']",57.64146432108043,63.63695954900014,53.32913568895927,61.20478864353447,5.0,3.0,1.0,1.0
2022-06-02,2022,714,"['603728.SH', '002130.SZ', '002851.SZ', '600995.SH', '002126.SZ']",61.89545089768698,64.17910459712061,65.33680872179231,72.84958409705943,5.0,4.0,2.0,1.0
2022-07-01,2022,718,"['300100.SZ', '002851.SZ', '600995.SH', '000582.SZ', '002130.SZ']",8.62941417605865,12.909996819103972,-4.570630229404266,7.599278287157811,5.0,1.0,0.0,0.0
2022-07-29,2022,720,"['601966.SH', '600601.SH', '002130.SZ', '600995.SH', '605499.SH']",-4.249388830708203,1.5043877012291664,-8.020207457232214,2.6287278302224393,5.0,0.0,0.0,0.0
2022-08-26,2022,755,"['600601.SH', '600995.SH', '300100.SZ', '300620.SZ', '300570.SZ']",-2.2210867487221875,2.4403759032224066,9.12275326737258,20.838731841879692,5.0,2.0,1.0,0.0
2022-09-26,2022,756,"['302132.SZ', '600601.SH', '300100.SZ', '688728.SH', '002312.SZ']",4.7938907394061445,7.054868653961306,66.97053202104799,79.00161086534082,5.0,1.0,1.0,1.0
2022-10-31,2022,757,"['302132.SZ', '300570.SZ', '688213.SH', '300718.SZ', '003021.SZ']",-4.030465990159477,-7.840558716116014,99.5389263723343,103.5428382318457,5.0,4.0,2.0,2.0
2022-11-28,2022,759,"['300570.SZ', '603728.SH', '302132.SZ', '003021.SZ', '002837.SZ']",92.63709809354212,93.43091781581225,105.53854836198656,109.68247256439997,5.0,3.0,3.0,2.0
2022-12-26,2022,762,"['302132.SZ', '300570.SZ', '300548.SZ', '002837.SZ', '300100.SZ']",98.49721189600915,105.25529627009173,94.51196074489478,101.64373120744877,5.0,3.0,3.0,2.0
2023-01-31,2023,765,"['603728.SH', '300548.SZ', '300100.SZ', '300570.SZ', '002044.SZ']",22.533853532909774,30.46826472904703,47.36822741910814,54.86496157458228,5.0,3.0,1.0,1.0
2023-02-28,2023,767,"['600601.SH', '603728.SH', '002044.SZ', '300100.SZ', '300570.SZ']",13.03414351871809,18.340462230780666,44.58619378628067,50.02116774531348,5.0,4.0,2.0,0.0
2023-03-28,2023,767,"['300570.SZ', '300857.SZ', '002044.SZ', '600601.SH', '002265.SZ']",23.19529414857066,24.76922154335576,39.04443701145357,43.961735772283006,5.0,2.0,1.0,1.0
2023-04-26,2023,769,"['300718.SZ', '300100.SZ', '600602.SH', '600292.SH', '600066.SH']",20.426222961929547,19.760451597434614,23.492411146294685,25.607079439530484,5.0,1.0,0.0,0.0
2023-05-29,2023,771,"['600595.SH', '300100.SZ', '000050.SZ', '300718.SZ', '000737.SZ']",6.730837787969277,4.864893975247377,11.703459031128927,12.267420659966351,5.0,0.0,0.0,0.0
2023-06-28,2023,773,"['688183.SH', '300718.SZ', '688313.SH', '000988.SZ', '688538.SH']",-7.282976477051141,-7.686139553051374,-10.74389960275122,-7.5756786590871315,5.0,0.0,0.0,0.0
2023-07-26,2023,775,"['300718.SZ', '000050.SZ', '000988.SZ', '688313.SH', '300548.SZ']",-3.305919125075903,-1.6156995841966324,-13.422975888611532,-9.092589549780325,5.0,0.0,0.0,0.0
2023-08-23,2023,779,"['300718.SZ', '000737.SZ', '600171.SH', '300548.SZ', '603728.SH']",7.251944822424271,10.819367111650443,6.655679205955055,10.967301450021482,5.0,1.0,1.0,1.0
2023-09-20,2023,780,"['600595.SH', '301377.SZ', '300953.SZ', '600171.SH', '300888.SZ']",2.365772865333655,6.972500915817164,-5.64159538287479,-3.0643837140213055,5.0,1.0,0.0,0.0
2023-10-26,2023,780,"['300718.SZ', '301377.SZ', '300953.SZ', '600595.SH', '300888.SZ']",1.1136116420110678,2.45268066653086,-15.211661759638728,-15.394750839238295,5.0,0.0,0.0,0.0
2023-11-23,2023,780,"['300888.SZ', '300718.SZ', '300666.SZ', '301377.SZ', '600601.SH']",-13.48100790206431,-14.160718901970998,-13.089521529455245,-14.366733217652866,5.0,0.0,0.0,0.0
2023-12-21,2023,780,"['300888.SZ', '300953.SZ', '301377.SZ', '600601.SH', '300718.SZ']",-9.251419095545184,-10.307172425930585,-11.211344163225796,-13.507469503433295,5.0,0.0,0.0,0.0
2024-01-19,2024,781,"['300718.SZ', '300666.SZ', '301377.SZ', '300953.SZ', '688313.SH']",-4.755563061224,-3.7163088987784128,6.251075061381436,8.524284938754978,5.0,3.0,0.0,0.0
2024-02-26,2024,782,"['301377.SZ', '300718.SZ', '300395.SZ', '002265.SZ', '603119.SH']",-7.902961893619592,-6.753587136653579,-5.563155158314359,0.04458653781541644,5.0,2.0,0.0,0.0
2024-03-25,2024,783,"['301377.SZ', '300395.SZ', '300718.SZ', '688561.SH', '002271.SZ']",-12.465075937782162,-13.81800626156157,-9.919762628039585,-5.327878375559692,5.0,1.0,0.0,0.0
2024-04-24,2024,785,"['002265.SZ', '301377.SZ', '002273.SZ', '300395.SZ', '600171.SH']",32.97627768267636,30.390144662686275,93.50653066656778,99.63224905406749,5.0,4.0,3.0,2.0
2024-05-27,2024,785,"['301377.SZ', '002265.SZ', '688114.SH', '688172.SH', '300718.SZ']",1.3751948705325674,-0.7760820970537097,161.7052355885043,172.9218111768049,5.0,5.0,3.0,2.0
2024-06-25,2024,786,"['002265.SZ', '301377.SZ', '300718.SZ', '603345.SH', '600927.SH']",8.830002830855113,8.813140800394127,134.2736058894223,146.67673136334128,5.0,3.0,3.0,2.0
2024-07-23,2024,786,"['300718.SZ', '301377.SZ', '603345.SH', '688375.SH', '688313.SH']",11.085445426106519,16.982500262026367,110.27144708813341,122.6813342978063,5.0,3.0,3.0,2.0
