feature,type,true_n,false_n,true_mean_ret,false_mean_ret,lift
breakout_252d_high(proxy:pp>0.95),binary,3833,40073,0.0922,0.1221,-0.0299
price_in_mid_range(30-70%),binary,12542,31364,0.1195,0.1194,0.0
