trade_date,instrument,name,industry,score,score_rank_pct,label_value,amount_log,rps_60d,ret_60d,ret_120d,price_percentile_252d,pe_rank_252d,pb_rank_252d,trend_smoothness_60d,industry_ret_20d,industry_ret_60d,industry_ret_120d,industry_breadth_20d,industry_breadth_60d,industry_volume_expansion,stock_minus_industry_ret_20d,stock_minus_industry_ret_60d,industry_top_stock_momentum,type
2024-03-07,301358.SZ,湖南裕能,电气设备,-0.2644,0.1190,1.0388,18.6669,0.0976,-0.1779,-0.3681,0.0337,0.0337,0.0337,-0.1244,0.0071,0.0006,-0.0008,0.5649,0.4677,1.3327,-0.1545,-0.1997,0.0286,high_score
2025-02-25,301358.SZ,湖南裕能,电气设备,0.7667,0.7273,1.0112,19.2445,0.0050,-0.2301,0.5914,0.6190,0.6190,0.6071,-0.1750,0.0013,0.0002,0.0027,0.4713,0.4688,1.0901,-0.1815,-0.2539,0.0960,missed
2025-04-18,301358.SZ,湖南裕能,电气设备,2.0355,0.7500,1.0780,18.6456,0.0088,-0.3288,-0.2573,0.2381,0.9206,0.1825,-0.2402,-0.0068,-0.0011,-0.0008,0.4277,0.4762,0.9212,-0.1372,-0.2475,0.0584,missed
2025-05-26,301358.SZ,湖南裕能,电气设备,3.1070,0.8590,1.4089,18.8206,0.0439,-0.2780,-0.4441,0.1627,0.8294,0.1310,-0.1924,0.0003,-0.0015,-0.0007,0.4628,0.4706,0.8086,-0.0966,-0.1745,0.0425,missed
2025-06-05,301358.SZ,湖南裕能,电气设备,3.0653,1.0000,1.3631,19.2644,0.0113,-0.3645,-0.4673,0.1746,0.8135,0.1429,-0.2769,-0.0007,-0.0018,-0.0010,0.4394,0.4624,0.8847,-0.0500,-0.2488,0.0334,missed
2025-07-07,301358.SZ,湖南裕能,电气设备,0.8003,0.5610,1.2724,19.5984,0.3864,0.0407,-0.2917,0.4048,0.8571,0.3571,0.0393,0.0009,0.0015,0.0001,0.5021,0.5032,1.1082,0.0434,-0.0508,0.0187,missed
2025-08-05,301358.SZ,湖南裕能,电气设备,1.2624,0.8947,2.1310,19.2641,0.3049,-0.0032,-0.2295,0.4365,0.8770,0.4405,-0.0043,0.0014,0.0008,0.0002,0.4777,0.4759,1.6746,-0.0242,-0.0470,0.0345,missed
2024-07-19,301498.SZ,乖宝宠物,饲料,-0.2774,0.2581,1.0716,17.3819,0.3796,-0.0959,0.1261,0.6696,0.0045,0.5893,-0.0872,-0.0004,-0.0001,0.0009,0.4900,0.4667,0.8287,-0.1342,-0.0874,0.0601,high_score
2024-08-21,301498.SZ,乖宝宠物,饲料,-0.4676,0.1111,1.2885,18.9045,0.4552,-0.1322,0.1415,0.6923,0.0891,0.6154,-0.1240,-0.0001,-0.0021,0.0001,0.4600,0.4333,0.9465,0.0704,-0.0120,0.0349,high_score
2024-09-04,301498.SZ,乖宝宠物,饲料,-0.2695,0.1667,1.2556,17.6665,0.5945,-0.0929,0.1553,0.7540,0.1429,0.6329,-0.0830,-0.0012,-0.0017,-0.0001,0.3800,0.4333,0.8551,0.1757,0.0072,0.0276,high_score
2024-04-02,301536.SZ,星宸科技,半导体,0.8465,0.7143,1.1353,20.4057,,,,,,,,-0.0031,-0.0021,-0.0008,0.4367,0.4370,1.4367,,,0.0109,missed
2024-05-06,301536.SZ,星宸科技,半导体,0.1200,0.4462,1.2845,19.4243,,,,,,,,0.0008,0.0014,-0.0007,0.4630,0.4824,0.7747,-0.2056,,0.0125,high_score
2024-09-20,301536.SZ,星宸科技,半导体,1.7252,0.8095,1.0449,17.8749,0.1952,-0.1915,,0.0252,0.0252,0.0252,-0.1375,-0.0034,-0.0023,-0.0009,0.4145,0.4376,0.6217,-0.1096,-0.0522,0.0475,missed
2025-04-15,301611.SZ,珂玛科技,半导体,1.1587,0.6316,1.1136,18.5351,0.5119,0.0120,-0.0665,0.2785,0.0253,0.2278,0.0082,-0.0030,0.0019,0.0019,0.4402,0.4824,0.7937,0.0017,-0.0844,0.0982,missed
2025-05-08,301611.SZ,珂玛科技,半导体,1.1675,0.8529,1.1780,18.3635,0.3789,-0.0552,-0.1597,0.3663,0.1105,0.2326,-0.0415,0.0069,0.0002,0.0009,0.5373,0.4612,0.8181,0.0642,-0.0443,0.0873,missed
2025-06-03,301611.SZ,珂玛科技,半导体,1.5012,0.8088,1.3696,19.2136,0.1393,-0.1730,-0.2232,0.1799,0.0106,0.1852,-0.1700,-0.0020,-0.0017,0.0004,0.4291,0.4357,0.8400,-0.0218,-0.0605,0.0567,missed
2025-08-08,301611.SZ,珂玛科技,半导体,0.5115,0.4706,1.2330,19.0120,0.2334,-0.0136,-0.0684,0.3122,0.1772,0.3333,-0.0186,0.0018,0.0005,0.0000,0.5236,0.5044,1.2242,-0.0207,-0.0386,0.0183,high_score
2022-05-25,302132.SZ,中航成飞,航空,1.4780,0.7200,3.9503,18.3872,0.0853,-0.3148,-0.3878,0.0476,0.0476,0.0476,-0.2511,0.0019,-0.0026,-0.0026,0.5750,0.4690,0.9322,-0.2022,-0.1263,-0.0060,missed
2022-06-16,302132.SZ,中航成飞,航空,3.1813,0.8750,3.8650,18.1335,0.0969,-0.1744,-0.3691,0.0813,0.0813,0.0893,-0.1428,0.0007,-0.0005,-0.0021,0.5239,0.4984,1.3019,0.0269,-0.1198,-0.0001,missed
2022-07-28,302132.SZ,中航成飞,航空,1.8895,0.9667,2.8751,18.9669,0.7857,0.2594,-0.1691,0.2579,0.2579,0.2579,0.2589,0.0016,0.0034,0.0002,0.4900,0.5324,1.1284,0.0074,0.0518,0.0356,missed
2022-08-31,302132.SZ,中航成飞,航空,3.2476,0.9681,3.4585,18.1192,0.3325,-0.0698,-0.2486,0.0635,0.0635,0.0437,-0.0718,-0.0048,0.0002,-0.0002,0.4033,0.4588,1.0100,-0.0391,-0.0712,0.0510,missed
2022-09-23,302132.SZ,中航成飞,航空,3.4132,0.9324,3.7517,17.4864,0.3338,-0.1498,-0.2420,0.0417,0.0417,0.0179,-0.1709,0.0010,0.0000,0.0001,0.4567,0.4578,0.7953,-0.0979,-0.1355,0.0510,missed
2022-10-11,302132.SZ,中航成飞,航空,3.5240,0.9432,4.3855,17.1108,0.2073,-0.2076,-0.3006,0.0079,0.0079,0.0079,-0.2204,-0.0034,-0.0020,0.0001,0.4333,0.4444,0.7869,-0.0729,-0.0807,0.0449,missed
2022-11-11,302132.SZ,中航成飞,航空,3.4244,0.9138,3.5756,17.6440,0.2013,-0.1509,0.0010,0.1766,0.1766,0.1389,-0.1719,0.0027,-0.0010,0.0007,0.4733,0.4422,1.0381,0.0325,-0.0763,0.0240,missed
2022-12-20,302132.SZ,中航成飞,航空,3.2018,0.9189,3.2046,16.9366,0.6641,0.0389,-0.0923,0.1548,0.1548,0.1270,0.0428,-0.0031,-0.0004,-0.0003,0.4100,0.4733,0.8986,0.0012,0.0747,0.0136,missed
2023-01-04,302132.SZ,中航成飞,航空,3.2076,0.9722,3.0661,17.4854,0.7633,0.1645,-0.0773,0.2579,0.2579,0.2183,0.1932,-0.0015,0.0016,-0.0002,0.4360,0.4975,0.6854,-0.0121,0.0846,0.0162,missed
2023-02-07,302132.SZ,中航成飞,航空,3.1872,0.8750,1.0635,17.3779,1.0000,1.0514,0.7759,1.0000,1.0000,1.0000,0.8609,0.0044,0.0009,0.0004,0.5826,0.5100,0.9638,0.9788,0.9946,0.0182,missed
