dataset,group,total_n,top5_n,top5_mean_ret,top5_fp_rate,top5_bw_rate
daily,陶瓷,1151,232,0.15838645,0.5560344827586207,0.07327586206896551
daily,食品,10267,636,-6.368625e-05,0.7264150943396226,0.026729559748427674
daily,饲料,5097,129,0.058411412,0.49612403100775193,0.0
daily,黄金,5733,60,0.19010383,0.5666666666666667,0.23333333333333334
monthly,IT设备,489,56,0.43242985,0.30357142857142855,0.2857142857142857
monthly,专用机械,1069,220,0.26804358,0.4636363636363636,0.16818181818181818
monthly,中成药,684,33,0.093196,0.6060606060606061,0.06060606060606061
monthly,互联网,513,62,0.37938535,0.2903225806451613,0.25806451612903225
monthly,仓储物流,402,48,0.0861718,0.4791666666666667,0.0
monthly,元器件,2449,547,0.28948084,0.453382084095064,0.19012797074954296
monthly,全国地产,285,10,-0.16655529,1.0,0.0
monthly,其他建材,171,35,-0.0015827315,0.6571428571428571,0.0
monthly,农业综合,228,16,0.08752233,0.5625,0.0
monthly,农药化肥,391,35,0.2090419,0.6285714285714286,0.2
monthly,出版业,221,40,0.0017460153,0.825,0.0
monthly,化学制药,1091,128,0.11091125,0.5546875,0.1640625
monthly,化工原料,1303,205,0.258609,0.5073170731707317,0.17560975609756097
monthly,化工机械,114,23,0.3233165,0.30434782608695654,0.08695652173913043
monthly,化纤,440,55,0.05524362,0.6545454545454545,0.0
monthly,区域地产,114,14,-0.15234503,0.9285714285714286,0.0
monthly,医疗保健,1098,167,0.21356562,0.5449101796407185,0.1497005988023952
monthly,医药商业,285,34,-0.16461995,0.9117647058823529,0.0
monthly,半导体,2657,396,0.2757989,0.5353535353535354,0.19444444444444445
monthly,啤酒,228,30,0.12683032,0.36666666666666664,0.0
monthly,塑料,114,21,-0.112170875,0.9047619047619048,0.0
monthly,多元金融,558,49,0.03492192,0.6938775510204082,0.0
monthly,家居用品,116,14,-0.108539395,0.9285714285714286,0.0
monthly,家用电器,684,119,0.15855674,0.4789915966386555,0.12605042016806722
monthly,小金属,912,76,0.43093073,0.3815789473684211,0.2894736842105263
monthly,工程机械,564,86,0.07985543,0.6046511627906976,0.023255813953488372
monthly,广告包装,171,27,0.37620005,0.48148148148148145,0.18518518518518517
monthly,建筑工程,846,59,0.104056165,0.711864406779661,0.06779661016949153
monthly,影视音像,342,43,0.05742661,0.6511627906976745,0.046511627906976744
monthly,摩托车,279,85,0.26135603,0.49411764705882355,0.1411764705882353
monthly,新型电力,617,61,0.013478881,0.8032786885245902,0.03278688524590164
monthly,日用化工,111,13,0.08561867,0.6923076923076923,0.0
monthly,普钢,513,68,0.016172146,0.8235294117647058,0.0
monthly,机场,171,10,-0.13164599,1.0,0.0
monthly,机械基件,171,53,0.72785485,0.49056603773584906,0.24528301886792453
monthly,染料涂料,114,18,-0.02088244,0.8333333333333334,0.0
monthly,水力发电,342,34,0.08431716,0.8529411764705882,0.14705882352941177
monthly,水泥,114,13,0.13468152,0.7692307692307693,0.07692307692307693
monthly,水运,285,34,0.15281901,0.5588235294117647,0.11764705882352941
monthly,汽车整车,513,49,0.10712462,0.5510204081632653,0.10204081632653061
monthly,汽车服务,57,10,0.053605128,0.6,0.0
monthly,汽车配件,1143,277,0.23580644,0.4584837545126354,0.1552346570397112
monthly,港口,456,45,0.0029017872,0.8444444444444444,0.0
monthly,火力发电,827,105,0.13867432,0.6,0.047619047619047616
monthly,煤炭开采,798,62,0.06104816,0.7096774193548387,0.016129032258064516
monthly,特种钢,228,23,0.14789249,0.43478260869565216,0.043478260869565216
monthly,环境保护,285,46,0.037006058,0.6739130434782609,0.0
monthly,玻璃,228,41,0.20683612,0.3902439024390244,0.14634146341463414
monthly,生物制药,1059,134,0.10693495,0.6492537313432836,0.1044776119402985
monthly,电信运营,207,28,0.11031575,0.4642857142857143,0.0
monthly,电器仪表,228,34,0.23822056,0.5,0.14705882352941177
monthly,电气设备,2547,454,0.40300363,0.3656387665198238,0.2907488986784141
monthly,白酒,456,15,-0.04413717,0.9333333333333333,0.0
