dataset,top,n,mean_ret,median_ret,ret>0,ret>0.1,ret>0.3,ret>0.6,ret>1.0,ret<0
daily,1%,8839,0.34902427,0.11771095,0.6254101142663198,0.5190632424482408,0.34234641927819887,0.2070369951351963,0.1267111664215409,0.37391107591356487
daily,5%,44191,0.23516673,0.08008218,0.6143332352741508,0.4734448190808083,0.2897196261682243,0.15378697019755153,0.08128351926862935,0.3852594419678215
daily,10%,88382,0.21014893,0.06892395,0.6069448530243715,0.4556583919802675,0.2652576316444525,0.137199882328981,0.06966350614378493,0.39248942092281236
monthly_unique,1%,441,0.34519735,0.14336741,0.671201814058957,0.5600907029478458,0.3310657596371882,0.18594104308390022,0.10430839002267574,0.32653061224489793
monthly_unique,5%,2196,0.2739291,0.098181725,0.6302367941712204,0.49863387978142076,0.31420765027322406,0.17304189435336975,0.09380692167577413,0.36885245901639346
monthly_unique,10%,4391,0.23068531,0.079729676,0.6233204281484855,0.4736961967661125,0.2830790252789797,0.1528125711682988,0.07697563197449328,0.3759963561831018
