signal_date,execution_date,account_name,symbol,score,score_rank,weight,price,price_basis_date,price_basis_field,price_basis_label,model_name,model_path,universe,artifact_source
2026-03-26,2026-03-27,shared,600219.SH,0.921543024552504,1,0.2,6.0,2026-03-26,close,close@2026-03-26 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv
2026-03-26,2026-03-27,shared,600893.SH,0.7908671943977367,2,0.2,48.0,2026-03-26,close,close@2026-03-26 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv
2026-03-26,2026-03-27,shared,002493.SZ,0.7198209986182396,3,0.2,11.84000015258789,2026-03-26,close,close@2026-03-26 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv
2026-03-26,2026-03-27,shared,000630.SZ,0.7070780796933106,4,0.2,5.78000020980835,2026-03-26,close,close@2026-03-26 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv
2026-03-26,2026-03-27,shared,603993.SH,0.6099745600725685,5,0.2,17.489999771118164,2026-03-26,close,close@2026-03-26 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv
2026-03-27,2026-03-30,shared,600219.SH,1.031778673048094,1,0.2,5.900000095367432,2026-03-27,close,close@2026-03-27 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv
2026-03-27,2026-03-30,shared,600893.SH,0.7767332101943214,2,0.2,48.02999877929688,2026-03-27,close,close@2026-03-27 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv
2026-03-27,2026-03-30,shared,000630.SZ,0.7019139759742575,3,0.2,5.860000133514404,2026-03-27,close,close@2026-03-27 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv
2026-03-27,2026-03-30,shared,603993.SH,0.6868671064791925,4,0.2,17.579999923706055,2026-03-27,close,close@2026-03-27 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv
2026-03-27,2026-03-30,shared,002493.SZ,0.6113244450608863,5,0.2,12.100000381469728,2026-03-27,close,close@2026-03-27 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv
2026-03-30,2026-03-31,shared,600489.SH,0.7715663213096963,1,0.2,26.75,2026-03-30,close,close@2026-03-30 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv
2026-03-30,2026-03-31,shared,002493.SZ,0.5476383721902277,2,0.2,12.050000190734863,2026-03-30,close,close@2026-03-30 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv
2026-03-30,2026-03-31,shared,600893.SH,0.545736550533405,3,0.2,48.619998931884766,2026-03-30,close,close@2026-03-30 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv
2026-03-30,2026-03-31,shared,603993.SH,0.5329208021697184,4,0.2,17.43000030517578,2026-03-30,close,close@2026-03-30 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv
2026-03-30,2026-03-31,shared,000630.SZ,0.5244778236562561,5,0.2,5.920000076293945,2026-03-30,close,close@2026-03-30 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv
2026-03-31,2026-04-01,shared,600489.SH,0.8770591917873695,1,0.2,26.709999084472656,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv
2026-03-31,2026-04-01,shared,600893.SH,0.6842969031767286,2,0.2,48.060001373291016,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv
2026-03-31,2026-04-01,shared,603993.SH,0.6366362070721484,3,0.2,17.149999618530273,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv
2026-03-31,2026-04-01,shared,600362.SH,0.5824865693682999,4,0.2,43.0,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv
2026-03-31,2026-04-01,shared,000630.SZ,0.5773100946233893,5,0.2,5.809999942779541,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv
2026-04-01,2026-04-02,shared,600489.SH,0.8427940102189694,1,0.2,27.26000022888184,2026-04-01,close,close@2026-04-01 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv
2026-04-01,2026-04-02,shared,600547.SH,0.5867668014366544,2,0.2,41.130001068115234,2026-04-01,close,close@2026-04-01 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv
2026-04-01,2026-04-02,shared,600219.SH,0.5426008688385097,3,0.2,6.170000076293945,2026-04-01,close,close@2026-04-01 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv
2026-04-01,2026-04-02,shared,600010.SH,0.4774325257931632,4,0.2,2.630000114440918,2026-04-01,close,close@2026-04-01 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv
2026-04-01,2026-04-02,shared,002916.SZ,0.441304107733527,5,0.2,231.0,2026-04-01,close,close@2026-04-01 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv
2026-04-02,2026-04-03,shared,600489.SH,0.6953990945175997,1,0.2,26.399999618530277,2026-04-02,close,close@2026-04-02 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv
2026-04-02,2026-04-03,shared,600010.SH,0.5466804318880684,2,0.2,2.619999885559082,2026-04-02,close,close@2026-04-02 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv
2026-04-02,2026-04-03,shared,603260.SH,0.5347982065875339,3,0.2,39.7400016784668,2026-04-02,close,close@2026-04-02 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv
2026-04-02,2026-04-03,shared,000630.SZ,0.4193337610295236,4,0.2,5.829999923706055,2026-04-02,close,close@2026-04-02 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv
2026-04-02,2026-04-03,shared,600219.SH,0.4153744242557996,5,0.2,6.179999828338623,2026-04-02,close,close@2026-04-02 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv
