signal_date,execution_date,account_name,symbol,real_amount,shadow_amount,amount_diff,real_price,shadow_price,real_cost_basis,shadow_cost_basis,cost_basis_diff,real_market_value,shadow_market_value,market_value_diff,artifact_source
2026-03-26,2026-03-27,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-03-27/post_close/reconciliation/reconcile_positions_2026-03-27.csv
2026-03-26,2026-03-27,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472767,-199564.99681472767,daily/2026-03-27/post_close/reconciliation/reconcile_positions_2026-03-27.csv
2026-03-26,2026-03-27,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-03-27/post_close/reconciliation/reconcile_positions_2026-03-27.csv
2026-03-26,2026-03-27,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-03-27/post_close/reconciliation/reconcile_positions_2026-03-27.csv
2026-03-27,2026-03-30,real_vs_shadow,000338.SZ,0,8800,-8800,0.0,22.540000915527344,0.0,23.33204607530073,-23.33204607530073,0.0,198352.00805664065,-198352.00805664065,daily/2026-03-30/post_close/reconciliation/reconcile_positions_2026-03-30.csv
2026-03-27,2026-03-30,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-03-30/post_close/reconciliation/reconcile_positions_2026-03-30.csv
2026-03-27,2026-03-30,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472767,-199564.99681472767,daily/2026-03-30/post_close/reconciliation/reconcile_positions_2026-03-30.csv
2026-03-27,2026-03-30,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-03-30/post_close/reconciliation/reconcile_positions_2026-03-30.csv
2026-03-27,2026-03-30,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-03-30/post_close/reconciliation/reconcile_positions_2026-03-30.csv
2026-03-30,2026-03-31,real_vs_shadow,000338.SZ,0,8800,-8800,0.0,22.540000915527344,0.0,23.33204607530073,-23.33204607530073,0.0,198352.00805664065,-198352.00805664065,daily/2026-03-31/post_close/reconciliation/reconcile_positions_2026-03-31.csv
2026-03-30,2026-03-31,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-03-31/post_close/reconciliation/reconcile_positions_2026-03-31.csv
2026-03-30,2026-03-31,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472767,-199564.99681472767,daily/2026-03-31/post_close/reconciliation/reconcile_positions_2026-03-31.csv
2026-03-30,2026-03-31,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-03-31/post_close/reconciliation/reconcile_positions_2026-03-31.csv
2026-03-30,2026-03-31,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-03-31/post_close/reconciliation/reconcile_positions_2026-03-31.csv
2026-03-31,2026-04-01,real_vs_shadow,000338.SZ,0,8800,-8800,0.0,22.540000915527344,0.0,23.33204607530073,-23.33204607530073,0.0,198352.00805664065,-198352.00805664065,daily/2026-04-01/post_close/reconciliation/reconcile_positions_2026-04-01.csv
2026-03-31,2026-04-01,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-04-01/post_close/reconciliation/reconcile_positions_2026-04-01.csv
2026-03-31,2026-04-01,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472767,-199564.99681472767,daily/2026-04-01/post_close/reconciliation/reconcile_positions_2026-04-01.csv
2026-03-31,2026-04-01,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-04-01/post_close/reconciliation/reconcile_positions_2026-04-01.csv
2026-03-31,2026-04-01,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-04-01/post_close/reconciliation/reconcile_positions_2026-04-01.csv
2026-04-01,2026-04-02,real_vs_shadow,000338.SZ,0,8800,-8800,0.0,22.540000915527344,0.0,23.33204607530073,-23.33204607530073,0.0,198352.00805664065,-198352.00805664065,daily/2026-04-02/post_close/reconciliation/reconcile_positions_2026-04-02.csv
2026-04-01,2026-04-02,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-04-02/post_close/reconciliation/reconcile_positions_2026-04-02.csv
2026-04-01,2026-04-02,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472772,-199564.99681472772,daily/2026-04-02/post_close/reconciliation/reconcile_positions_2026-04-02.csv
2026-04-01,2026-04-02,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-04-02/post_close/reconciliation/reconcile_positions_2026-04-02.csv
2026-04-01,2026-04-02,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-04-02/post_close/reconciliation/reconcile_positions_2026-04-02.csv
2026-04-02,2026-04-03,real_vs_shadow,000338.SZ,0,8800,-8800,0.0,22.540000915527344,0.0,23.33204607530073,-23.33204607530073,0.0,198352.00805664065,-198352.00805664065,daily/2026-04-03/post_close/reconciliation/reconcile_positions_2026-04-03.csv
2026-04-02,2026-04-03,real_vs_shadow,002001.SZ,0,5800,-5800,0.0,34.25,0.0,34.25,-34.25,0.0,198650.0,-198650.0,daily/2026-04-03/post_close/reconciliation/reconcile_positions_2026-04-03.csv
2026-04-02,2026-04-03,real_vs_shadow,002493.SZ,0,16700,-16700,0.0,11.949999809265137,0.0,11.3100004196167,-11.3100004196167,0.0,199564.99681472775,-199564.99681472775,daily/2026-04-03/post_close/reconciliation/reconcile_positions_2026-04-03.csv
2026-04-02,2026-04-03,real_vs_shadow,300394.SZ,0,600,-600,0.0,312.0,0.0,312.0,-312.0,0.0,187200.0,-187200.0,daily/2026-04-03/post_close/reconciliation/reconcile_positions_2026-04-03.csv
2026-04-02,2026-04-03,real_vs_shadow,600176.SH,0,8800,-8800,0.0,22.64999961853028,0.0,22.64999961853028,-22.64999961853028,0.0,199319.99664306644,-199319.99664306644,daily/2026-04-03/post_close/reconciliation/reconcile_positions_2026-04-03.csv
