symbol,side,amount,price,est_value,weight,score,score_rank,target_value,current_value,diff_value,weight_method,plan_role,execution_bucket,cash_dependency,t1_rule,account_name,signal_date,plan_date,execution_date,price_basis_date,price_basis_field,price_basis_label,status,filled_amount,filled_price,fee,tax,total_cost,order_id,note,cash,total_assets,cost_basis
000338.SZ,buy,300,22.540000915527344,6762.000274658203,0.2,0.5650092037942077,2,199941.03283944703,191590.00778198242,8351.025057464605,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-23,2026-03-23,2026-03-24,2026-03-23,close,close@2026-03-23 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,22.540000915527344
600219.SH,buy,34700,5.760000228881836,199872.0079421997,0.2,0.5164274571471508,3,199941.03283944703,0.0,199941.03283944703,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-23,2026-03-23,2026-03-24,2026-03-23,close,close@2026-03-23 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.760000228881836
000301.SZ,buy,19500,10.220000267028809,199290.00520706177,0.2,0.5039481249969756,4,199941.03283944703,0.0,199941.03283944703,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-23,2026-03-23,2026-03-24,2026-03-23,close,close@2026-03-23 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,10.220000267028809
