symbol,score,score_rank,weight,price,signal_date,execution_date,price_basis_date,price_basis_field,price_basis_label,model_name,model_path,universe
600489.SH,0.8770591917873695,1,0.2,26.709999084472656,2026-03-31,2026-04-01,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300
600893.SH,0.6842969031767286,2,0.2,48.060001373291016,2026-03-31,2026-04-01,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300
603993.SH,0.6366362070721484,3,0.2,17.149999618530273,2026-03-31,2026-04-01,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300
600362.SH,0.5824865693682999,4,0.2,43.0,2026-03-31,2026-04-01,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300
000630.SZ,0.5773100946233893,5,0.2,5.809999942779541,2026-03-31,2026-04-01,2026-03-31,close,close@2026-03-31 -> next-session signal basket,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300
