tag,ic,icir,rank_ic,rank_icir,top20_mean,top20_hit,top50_mean,top50_hit,top100_mean,top100_hit,ic_2020,ic_2021,ic_2022,ic_2023,ic_2024,ic_2025
baseline_current,0.12248043739713463,1.2408517503845962,0.10597226999399392,1.0084849405023215,0.28346336,0.6272806255430061,0.23116654,0.6130321459600347,0.19739754,0.5983405734144223,-0.008698631566394142,0.09218340614866004,0.20501643126407526,0.19006662460053403,0.09742218589326863,-0.0025898379207662595
retrain_2y,0.12524804734155612,1.2300389360561081,0.1059630691402384,1.0083898434600262,0.28346336,0.6272806255430061,0.23116654,0.6130321459600347,0.19739754,0.5983405734144223,-0.008757952214018738,0.09087253291582602,0.211894193408974,0.18937998013642607,0.10630669410978631,-0.003488428176398133
train_3y,0.12524906755470044,1.2300386636250142,0.10596404634599867,1.0083904724947401,0.28346336,0.6272806255430061,0.23116654,0.6130321459600347,0.19739754,0.5983405734144223,-0.008757952214018724,0.09087253291582602,0.21189904574504478,0.18937998013642607,0.10630669410978633,-0.0034884281763981305
train_5y,0.12524906755470047,1.2300386636250142,0.10596404634599867,1.0083904724947401,0.28346336,0.6272806255430061,0.23116654,0.6130321459600347,0.19739754,0.5983405734144223,-0.008757952214018738,0.09087253291582602,0.21189904574504487,0.18937998013642607,0.10630669410978631,-0.003488428176398133
