method,period,ic_mean,icir,rank_ic_mean,rank_icir
Original (raw score),Overall,0.12248043739713463,1.2408517503845962,0.10597226999399392,1.0084849405023215
Original (raw score),2020,-0.008698631566394142,-0.1806170853241078,-0.03845573481127922,-0.5545767328916898
Original (raw score),2021,0.09218340614866004,1.665656608571288,0.04392609655626877,0.6661578467214391
Original (raw score),2022,0.20501643126407526,4.279139290706362,0.20344103027765778,3.727780279101274
Original (raw score),2023,0.19006662460053403,3.4891163069261424,0.1924078753830599,3.029644158943585
Original (raw score),2024,0.09742218589326863,1.0246690217985526,0.05803987701027842,0.7305814396080728
Original (raw score),2025,-0.0025898379207662595,-0.033339988615870196,0.01473860247919525,0.1923490168658789
Within-industry (rank pct),Overall,0.0817916254339158,1.231922839041425,0.08010322051604248,1.1658762552693356
Within-industry (rank pct),2020,0.019060269604765395,1.117686138851498,0.03193777799073545,1.1052250671966406
Within-industry (rank pct),2021,0.06391851157758023,1.1717627210454786,0.05256025288160569,0.8780721758559233
Within-industry (rank pct),2022,0.14679998133929065,4.887278043709159,0.15477217573590116,5.493363671160057
Within-industry (rank pct),2023,0.12284503382375828,2.7468600584762237,0.12268263386585822,2.519535392199791
Within-industry (rank pct),2024,0.05787357673802082,1.3664814180290994,0.04740196976971282,1.2751260192124092
Within-industry (rank pct),2025,-0.006842282263417611,-0.18138736404222913,0.00048274127076422275,0.0154139748947865
Industry Allocation (ind mean),Overall,0.06896625053343793,0.4562018546248132,0.055254396986008876,0.3421926444256598
Industry Allocation (ind mean),2020,-0.10107821423078853,-0.9465989280249352,-0.11810268659350011,-0.901794488162417
Industry Allocation (ind mean),2021,0.03164718854186184,0.2466629243749827,-0.005470779019431366,-0.04221602322828837
Industry Allocation (ind mean),2022,0.10613084815058403,1.1213253075523584,0.11946274702940762,1.44167979241619
Industry Allocation (ind mean),2023,0.18840423159682135,1.268632993841349,0.20328468618505213,1.70433266817127
Industry Allocation (ind mean),2024,-0.004100602408793968,-0.03061823512792423,-0.0476352853124945,-0.30489730348037525
Industry Allocation (ind mean),2025,0.02345624502942633,0.1504735580993636,0.0067071209559304975,0.043523620688507056
