symbol,side,amount,price,est_value,weight,score,score_rank,target_value,current_value,diff_value,weight_method,plan_role,execution_bucket,cash_dependency,t1_rule,account_name,signal_date,plan_date,execution_date,price_basis_date,price_basis_field,price_basis_label,status,filled_amount,filled_price,fee,tax,total_cost,order_id,note,cash,total_assets,cost_basis
600346.SH,buy,9700,20.290000915527344,196813.00888061523,0.2,0.5085660673773579,3,198546.62763822937,0.0,198546.62763822937,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-24,2026-03-24,2026-03-25,2026-03-24,close,close@2026-03-24 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,20.290000915527344
600219.SH,buy,33700,5.880000114440918,198156.00385665894,0.2,0.5006717555466855,4,198546.62763822937,0.0,198546.62763822937,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-24,2026-03-24,2026-03-25,2026-03-24,close,close@2026-03-24 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.880000114440918
000630.SZ,buy,34100,5.809999942779541,198120.99804878235,0.2,0.4833139837464148,5,198546.62763822937,0.0,198546.62763822937,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-24,2026-03-24,2026-03-25,2026-03-24,close,close@2026-03-24 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.809999942779541
