,date,total_assets,cash,position_count,trade_count,daily_fee,daily_turnover
0,2022-01-04,998819.945186612,92333.94693755801,48,48,273.56881513915056,907392.4842473029
1,2022-01-05,993845.935963628,88302.93960475651,48,9,83.0850448366785,75925.87100179195
2,2022-01-06,987490.3011862242,86914.30302300092,48,3,15.421577979040146,2216.370961856842
3,2022-01-07,990275.75626554,87022.75290669904,48,5,26.895102979040146,3654.8609714031218
4,2022-01-10,993792.9119356106,83166.91591815457,48,3,15.0,3840.8369885444636
5,2022-01-11,989289.9767490043,74084.97515636816,48,7,37.3016959723711,13648.03101055622
6,2022-01-12,994506.5430577411,73648.54416209593,48,1,5.0,431.43099427223206
7,2022-01-13,987342.563632589,71658.55980263285,48,4,20.67232700190544,3313.9660362720488
8,2022-01-14,970548.1361089282,70225.13782363468,48,2,10.0,1423.421978998184
9,2022-01-17,973633.7445228153,69827.74581599765,48,1,5.0,392.3920076370239
10,2022-01-18,989735.3892365625,66785.3859463861,48,4,21.113884961891173,5249.015908432006
11,2022-01-19,990210.5515146188,68199.54339503561,48,1,6.4205780266761785,1420.578026676178
12,2022-01-20,996288.9164129766,69207.91460671736,48,4,23.21977695426941,5407.962919902801
13,2022-01-21,987544.6844029531,69887.6869130239,48,4,22.30968798856735,3917.293982839584
14,2022-01-24,986281.8537347206,70089.852582682,48,2,10.682316992378235,1151.7859981060028
15,2022-01-25,966313.373715503,69539.36989985204,48,5,26.319679003810883,3163.5210114479064
16,2022-01-26,972093.0806435781,68452.08256618548,48,10,127.99260667491436,148297.81345629692
17,2022-01-27,959944.5260987552,61215.53215840177,48,6,30.450549022865296,8107.197904491424
18,2022-01-28,951682.0428719176,60821.03878160844,48,6,33.37761908955574,7116.3539368152615
19,2022-02-07,973385.6412256891,61186.64098631685,48,3,16.259738989520073,2137.6160353422165
20,2022-02-08,986910.3989626153,62119.39699899991,48,4,22.065931982851026,3177.042021036148
21,2022-02-09,988460.4577415955,62585.45345006102,48,1,5.471527979040146,471.52797904014585
22,2022-02-10,993964.5174019083,62899.515866492635,48,3,16.422575977134706,2514.6669618606566
23,2022-02-11,991048.650457956,52677.653792001474,48,5,25.89210698285103,11980.18393321037
24,2022-02-14,972438.0953138244,55440.090567387335,48,3,17.780216992378236,2780.216992378235
25,2022-02-15,976381.7372431317,56615.72574277319,48,1,6.181816992378235,1181.816992378235
26,2022-02-16,979699.9388752294,57496.94066622976,48,2,10.892107030487061,892.1070304870605
27,2022-02-17,980636.3055723689,58279.30360017046,48,2,11.810188083839417,2826.2030456542966
28,2022-02-18,988405.2307426475,57187.22260589823,48,2,10.0,1082.080994272232
29,2022-02-21,988322.8175477643,58424.81315895504,48,2,11.552445996189117,1855.7489933252336
30,2022-02-22,982140.3098817517,55461.30695301784,48,5,25.857141992378235,4651.933048701287
31,2022-02-23,987412.3109098126,55461.30695301784,48,0,0.0,0.0
32,2022-02-24,971852.4584293233,54291.46184919933,48,4,20.8991,2947.1460038185114
33,2022-02-25,972962.4452818737,53264.44084538082,48,1,5.0,1022.0210038185119
34,2022-02-28,975520.9941787028,53442.9923695826,48,4,21.549449022865296,2898.797072505951
35,2022-03-01,982125.584614249,52922.587287398004,48,4,21.969028908538817,4436.493870353698
