signal_date,execution_date,as_of_date,holding_days,status,reason,basket_size,model_name,model_path,universe,basket_path,coverage_count,coverage_ratio,ready_count,ready_ratio,missing_start_count,missing_end_count,missing_start_symbols,missing_end_symbols,equal_weight_return,weighted_return,benchmark_return,equal_weight_excess_return,weighted_excess_return,positive_ratio,top1_return,top5_mean_return
2026-04-03,2026-04-06,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm_semantic_all_features,data/models/qlib_lgbm_semantic_all_features,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-06/pre_open/signals/signal_basket_2026-04-03.csv,,,,,,,,,,,,,,,,
2026-04-02,2026-04-03,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-03/pre_open/signals/signal_basket_2026-04-02.csv,,,,,,,,,,,,,,,,
2026-04-01,2026-04-02,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-02/pre_open/signals/signal_basket_2026-04-01.csv,,,,,,,,,,,,,,,,
2026-03-31,2026-04-01,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-04-01/pre_open/signals/signal_basket_2026-03-31.csv,,,,,,,,,,,,,,,,
2026-03-30,2026-03-31,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-31/pre_open/signals/signal_basket_2026-03-30.csv,,,,,,,,,,,,,,,,
2026-03-27,2026-03-30,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-30/pre_open/signals/signal_basket_2026-03-27.csv,,,,,,,,,,,,,,,,
2026-03-26,2026-03-27,2026-03-26,0,pending,insufficient_holding_window,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-27/pre_open/signals/signal_basket_2026-03-26.csv,,,,,,,,,,,,,,,,
2026-03-25,2026-03-26,2026-03-26,1,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-26/pre_open/signals/signal_basket_2026-03-25.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],-0.018355802346962637,-0.018355802346962637,-0.013900586844794892,-0.004455215502167745,-0.004455215502167745,0.0,-0.031867724338506265,-0.018355802346962637
2026-03-24,2026-03-25,2026-03-26,2,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-25/pre_open/signals/signal_basket_2026-03-24.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.03646847531634909,0.03646847531634909,-0.0006595561282689181,0.03712803144461801,0.03712803144461801,0.8,0.08801181512830492,0.03646847531634909
2026-03-23,2026-03-24,2026-03-26,3,success,ok,5,qlib_lgbm,/home/liuming/.openclaw/workspace/SysQ/data/models/qlib_lgbm,csi300,/home/liuming/.openclaw/workspace/SysQ/daily/2026-03-24/pre_open/signals/signal_basket_2026-03-23.csv,5.0,1.0,5.0,1.0,0.0,0.0,[],[],0.054473951475880834,0.054473951475880834,0.014267810261382904,0.040206141214497934,0.040206141214497934,1.0,0.08881373122364766,0.054473951475880834
