symbol,side,amount,price,est_value,weight,score,score_rank,target_value,current_value,diff_value,weight_method,plan_role,execution_bucket,cash_dependency,t1_rule,account_name,signal_date,plan_date,execution_date,price_basis_date,price_basis_field,price_basis_label,status,filled_amount,filled_price,fee,tax,total_cost,order_id,note,cash,total_assets,cost_basis
600219.SH,buy,34000,5.900000095367432,200600.00324249268,0.2,1.031778673048094,1,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-27,2026-03-27,2026-03-30,2026-03-27,close,close@2026-03-27 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.900000095367432
600893.SH,buy,4100,48.029998779296875,196922.9949951172,0.2,0.7767332101943214,2,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-27,2026-03-27,2026-03-30,2026-03-27,close,close@2026-03-27 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,48.029998779296875
000630.SZ,buy,34200,5.860000133514404,200412.00456619263,0.2,0.7019139759742575,3,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-27,2026-03-27,2026-03-30,2026-03-27,close,close@2026-03-27 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.860000133514404
603993.SH,buy,11400,17.579999923706055,200411.99913024902,0.2,0.6868671064791925,4,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-27,2026-03-27,2026-03-30,2026-03-27,close,close@2026-03-27 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,17.579999923706055
