symbol,side,amount,price,est_value,weight,score,score_rank,target_value,current_value,diff_value,weight_method,plan_role,execution_bucket,cash_dependency,t1_rule,account_name,signal_date,plan_date,execution_date,price_basis_date,price_basis_field,price_basis_label,status,filled_amount,filled_price,fee,tax,total_cost,order_id,note,cash,total_assets,cost_basis
600219.SH,buy,33400,6.0,200400.0,0.2,0.9215430245525041,1,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-26,2026-03-26,2026-03-27,2026-03-26,close,close@2026-03-26 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,6.0
600893.SH,buy,4100,48.0,196800.0,0.2,0.7908671943977367,2,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-26,2026-03-26,2026-03-27,2026-03-26,close,close@2026-03-26 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,48.0
000630.SZ,buy,34700,5.78000020980835,200566.00728034973,0.2,0.7070780796933106,4,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-26,2026-03-26,2026-03-27,2026-03-26,close,close@2026-03-26 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,5.78000020980835
603993.SH,buy,11400,17.489999771118164,199385.99739074707,0.2,0.6099745600725685,5,200796.6291898365,0.0,200796.6291898365,equal_weight,target_portfolio_delta,after_sell_cash,requires_available_cash,new_buy_not_sellable_until_next_session,shadow,2026-03-26,2026-03-26,2026-03-27,2026-03-26,close,close@2026-03-26 -> next-session execution plan,planned,,,,,,,Baseline rotation: buy after cash returns; partial fills/slippage are acceptable.,,,17.489999771118164
